"","botid","timestamp","coordinates_long","coordinates_lat","quality","coordinates_lat_end","coordinates_long_end"
"225","6D100",1501510792,24.7257655,59.420658,4,59.420781,24.725203
"226","6D100",1501510886,24.725169,59.4207885,3,59.421035,24.724066
"227","6D100",1501510962,24.724066,59.421036,3,59.420953,24.723956
"228","6D100",1501511050,24.723956,59.420953,4,59.420962,24.723923
"229","6D100",1501511145,24.723923,59.420962,3,59.421038,24.723734
"230","6D100",1501511246,24.723734,59.421038,3,59.421273,24.723068
"231","6D100",1501511338,24.723069,59.421274,4,59.421365,24.7226665
"232","6D100",1501511508,24.722649,59.4213685,4,59.421514,24.721998
"233","6D100",1501511618,24.721998,59.421514,4,59.421629,24.721461
"234","6D100",1501511743,24.721461,59.4216285,4,59.421803,24.720728
"235","6D100",1501511815,24.720699,59.421809,4,59.422062,24.719542
"236","6D100",1501511879,24.719524,59.4220665,4,59.4222885,24.7185755
"237","6D100",1501511948,24.718566,59.4222905,3,59.422407,24.7180286666667
"238","6D100",1501512023,24.718025,59.422407,2,59.422468,24.717761
"239","6D100",1501512098,24.717761,59.422468,1,59.4225145,24.71758
"240","6D100",1501512200,24.71758,59.422514,2,59.422639,24.717025
"241","6D100",1501512294,24.717013,59.422641,4,59.422875,24.716014
"242","6D100",1501512357,24.716013,59.422875,3,59.4224665,24.7156015
"243","6D100",1501512438,24.7155895,59.4224525,4,59.4217015,24.714847
"244","6D100",1501512498,24.7148345,59.421687,4,59.421287,24.714599
"245","6D100",1501512613,24.7146,59.421287,4,59.420708,24.713984
"246","6D100",1501512691,24.7139765,59.4207015,4,59.419911,24.7132945
"247","6D100",1501512751,24.713284,59.419897,3,59.419409,24.7133795
"248","6D100",1501512811,24.713385,59.419408,4,59.419258,24.714144
"249","6D100",1501512883,24.714143,59.419258,4,59.419088,24.715
"250","6D100",1501512971,24.715,59.419088,4,59.418929,24.71564
"251","6D100",1501513046,24.715667,59.4189235,4,59.418725,24.716539
"252","6D100",1501513119,24.716561,59.41872,4,59.418614,24.717016
"253","6D100",1501513221,24.717016,59.418614,4,59.4184535,24.717781
"254","6D100",1501513303,24.717789,59.418453,4,59.4182885,24.7184415
"255","6D100",1501513402,24.71847,59.418282,4,59.418024,24.719664
"256","6D100",1501513463,24.719664,59.418024,4,59.417943,24.720133
"257","6D100",1501513561,24.7201503333333,59.4179383333333,4,59.417771,24.721119
"258","6D100",1501513632,24.721121,59.4177705,2,59.417566,24.721804
"259","6D100",1501513700,24.721803,59.4175583333333,4,59.417434,24.722236
"260","6D100",1501513780,24.722236,59.417434,4,59.417288,24.722881
"261","6D100",1501513848,24.72288,59.417288,4,59.417129,24.7235835
"262","6D100",1501513936,24.723583,59.417129,4,59.4169205,24.7244675
"263","6D100",1501514007,24.724491,59.416915,4,59.416713,24.725373
"264","6D100",1501514077,24.725395,59.4167075,4,59.416519,24.7262435
"265","6D100",1501514138,24.7262695,59.416513,4,59.4163185,24.7271195
"266","6D100",1501514206,24.7271275,59.416317,4,59.416157,24.7278485
"267","6D100",1501514288,24.7278545,59.4161555,4,59.415987,24.7285815
"268","6D100",1501514362,24.7285845,59.415986,4,59.415819,24.729313
"269","6D100",1501514451,24.729313,59.415819,4,59.415738,24.729732
"270","6D100",1501514579,24.729732,59.415738,3,59.415571,24.7303445
"271","6D100",1501514678,24.7303625,59.4155665,4,59.415288,24.731538
"272","6D100",1501514754,24.731537,59.415288,4,59.4155125,24.7320015
"273","6D100",1501514824,24.731996,59.4155245,4,59.416333,24.731619
"274","6D100",1501514884,24.7316135,59.416345,4,59.4171865,24.7312205
"275","6D100",1501514944,24.731214,59.4172005,4,59.4178405,24.7309285
"276","6D100",1501515017,24.730922,59.417855,4,59.418615,24.730568
"277","6D100",1501515087,24.730567,59.418617,4,59.419336,24.730234
"278","6D100",1501515147,24.730234,59.419336,4,59.4199,24.729962
"279","6D100",1501515221,24.7299565,59.419914,3,59.4204485,24.729704
"280","6D100",1501515281,24.7297005,59.4204625,3,59.420897,24.7294965
"281","6D100",1501515361,24.7294895,59.4209115,4,59.4214425,24.729223
"282","6D100",1501515437,24.729217,59.421453,4,59.422222,24.7284466666667
"283","6D100",1501515497,24.7284295,59.422233,4,59.4228315,24.727281
"284","6D100",1501515557,24.72726,59.4228415,4,59.423218,24.7265006666667
"285","6D100",1501515630,24.726477,59.423227,4,59.422978,24.725743
"286","6D100",1501515705,24.725743,59.422978,4,59.422449,24.7253185
"287","6D100",1501515770,24.725307,59.422435,3,59.4221465,24.725515
"288","6D100",1501515837,24.725529,59.4221435,4,59.42189125,24.726391
"289","6D100",1501515913,24.726412,59.421882,3,59.4003975,24.6572755
"290","6D100",1501517871,24.657276,59.4003905,2,59.4000185,24.6571095
"291","6D100",1501517932,24.6571045,59.4000175,2,59.400012,24.657086
"292","6D100",1501518014,24.657086,59.400012,3,59.400012,24.657086
"293","6D100",1501518099,24.657086,59.400012,4,59.4004456666667,24.6573043333333
"294","6D101",1500531437,24.657306,59.400447,3,59.400189,24.6584005
"295","6D101",1500531497,24.658411,59.4001795,4,59.400064,24.659638
"296","6D101",1500531557,24.6596665,59.400065,3,59.399646,24.66069
"297","6D101",1500531617,24.66069,59.399646,4,59.3997425,24.6609935
"298","6D101",1500531757,24.660993,59.399742,3,59.3993285,24.661468
"299","6D101",1500531880,24.6614705,59.399326,4,59.398701,24.6622066666667
"300","6D101",1500531943,24.662207,59.3987005,4,59.3980953333333,24.6629136666667
"301","6D101",1500532014,24.662914,59.398095,4,59.3975745,24.663966
"302","6D101",1500532087,24.663994,59.397567,4,59.397228,24.6652575
"303","6D101",1500532149,24.665283,59.397222,4,59.3970315,24.6664795
"304","6D101",1500532224,24.6665085,59.3970305,4,59.397124,24.6678875
"305","6D101",1500532288,24.6679185,59.3971275,4,59.3972755,24.669119
"306","6D101",1500532350,24.669138,59.397279,4,59.40044,24.657317
"307","6D101",1500878096,24.657317,59.40044,3,59.4001995,24.6584005
"308","6D101",1500878162,24.6584125,59.4001895,3,59.4000645,24.6596755
"309","6D101",1500878222,24.659707,59.400066,4,59.399484,24.6608025
"310","6D101",1500878282,24.6608195,59.399472,4,59.3989925,24.661364
"311","6D101",1500878360,24.6613805,59.398978,4,59.398526,24.661915
"312","6D101",1500878440,24.661915,59.398526,4,59.39823,24.6622755
"313","6D101",1500878542,24.662284,59.3982245,4,59.3978435,24.662779
"314","6D101",1500878626,24.6627963333333,59.397832,4,59.397496,24.663451
"315","6D101",1500878688,24.663451,59.397496,3,59.397344,24.663986
"316","6D101",1500878776,24.663988,59.397345,3,59.397414,24.664533
"317","6D101",1500878883,24.664533,59.397414,4,59.397098,24.6658155
"318","6D101",1500878949,24.665829,59.3970955,4,59.397057,24.666205
"319","6D101",1500879127,24.666233,59.3970533333333,4,59.397095,24.667625
"320","6D101",1500879195,24.6676515,59.397099,4,59.397224,24.668688
"321","6D101",1500879275,24.6687085,59.397227,4,59.397391,24.6700335
"322","6D101",1500879344,24.6700615,59.3973945,4,59.397514,24.6710583333333
"323","6D101",1500879413,24.671087,59.3975185,4,59.398126,24.671699
"324","6D101",1500879473,24.6716985,59.398133,4,59.3986986666667,24.671424
"325","6D101",1500879540,24.6714165,59.3987145,4,59.399343,24.671116
"326","6D101",1500879609,24.671116,59.399343,4,59.399933,24.6708085
"327","6D101",1500879679,24.6708015,59.3999435,3,59.400081,24.6713485
